Year,Male Life Expectancy at Birth,Female Life Expectancy at Birth
1952,38.151,41.32
1952,38.38,42.13
1952,38.647,35.783
1952,38.665,41.75
1952,38.665,42.948
1952,38.713,40.624
1952,38.733,42.89
1952,38.98,41.202
1952,39.097,45.673
1952,39.111,43.768
1952,39.119,42.939
1952,39.134,37.575
1952,39.285,41.186
1952,39.393,40.185
1952,39.424,45.691
1952,39.561,41.846
1952,39.567,40.881
1952,39.568,42.382
1952,39.651,42.428
1952,39.678,43.69
1952,39.802,39.541
1952,40.037,42.307
1952,40.131,43.741
1952,40.333,43.256
1952,40.352,43.155
1952,40.379,42.939
1952,40.467,44.371
1952,40.549,41.194
1952,40.659,38.594
1952,40.715,42.871
1952,41.152,44.842
1952,41.388,45.378
1952,41.523,43.149
1952,41.682,39.303
1952,41.722,45.752
1952,41.723,45.219
1952,41.738,42.324
1952,41.936,40.346
1952,41.998,45.117
1952,42.048,46.088
1952,42.051,48.812
1952,42.153,44.418
1952,42.174,43.707
1952,42.182,46.371
1952,42.205,40.874
1952,42.5,47.284
1952,42.57,49.814
1952,42.584,42.893
1952,42.912,41.115
1952,42.976,45.287
1952,43.067,44.267
1952,43.272,45.347
1952,43.41,48.257
1952,43.45,47.34
1952,43.471,47.115
1952,43.503,48.798
1952,43.572,46.151
1952,43.792,47.254
1952,43.822,48.753
1952,43.898,44.527
1952,44.079,48.12
1952,44.158,47.291
1952,44.212,45.87
1952,44.52,47.161
1952,44.536,46.831
1952,44.555,47.937
1952,44.625,46.068
1952,44.736,48.743
1952,44.789,45.16
1952,44.836,46.508
1952,45.086,50.863
1952,45.18,44.904
1952,45.269,56.584
1952,45.431,49.892
1952,45.594,47.836
1952,45.832,49.7
1952,46.219,52.8
1952,46.293,47.193
1952,46.335,51.654
1952,46.527,54.624
1952,46.624,49.891
1952,47.079,53.45
1952,47.458,50.578
1952,47.598,51.801
1952,47.725,51.99
1952,47.745,47.356
1952,47.942,51.224
1952,47.988,52.517
1952,48.107,54.367
1952,48.112,52.445
1952,48.163,52.331
1952,48.235,51.929
1952,48.293,51.698
1952,48.316,51.998
1952,48.332,50.068
1952,48.425,52.387
1952,48.518,53.477
1952,48.533,52.309
1952,48.573,53.409
1952,48.664,50.263
1952,49.037,53.816
1952,49.043,51.161
1952,49.063,57.04
1952,49.108,55.098
1952,49.144,57.912
1952,49.265,53.413
1952,49.371,53.834
1952,49.399,48.761
1952,49.532,55.445
1952,49.645,53.92
1952,49.908,57.861
1952,50.135,51.394
1952,50.155,53.146
1952,50.26,54.684
1952,50.324,54.773
1952,50.691,54.2
1952,50.741,51.906
1952,50.993,52.723
